tweet,label,lang
"@USER Οι μουσουλμάνες που τις βιάζουν έτσι κ αλλιώς, οπότε τις βολεύει να κυνηγούν εμάς κ να αφήσουν αυτές ήσυχες οι άντρες τους.",1,GR
Η Κάτια προσπαθεί να πείσει οτι δεν είναι ελέφαντας #GynaikaXwrisOnoma,0,GR
"Καλά γιατί λες ότι, είσαι νέος αφού γεννήθηκες το 39; Ναι αλλά, στις 29 Φεβρουαρίου κι' έχω γενέθλια κάθε τέσσερα χρόνια οπότε;",0,GR
Με Φατσεα ξεκινησαμε...... #Kokkinopotami,0,GR
"#gntmgr Κάτια πόσο γλυκιά, εμετός",0,GR
Οι γυναίκες χρειάζονται περισσότερο ύπνο γιατί έχουν πιο σύνθετο εγκέφαλο,0,GR
@USER Και οι μαλάκες που δικαιολογησαν τον μπάτσο επίσης,1,GR
@USER Και αντρες και γυναικες αν θελουν να στη κανουν.....,0,GR
@USER Εσύ είσαι η μόνη σωστή εδώ μέσα! Στους άλλους αναφέρομαι που σου κάνουν επίθεση. Στους φασίστες Χρυσαυγιτες,0,GR
@USER Το ότι αυτό έγινε πολύ μα πολύ αργότερα από το Ελληνικό βασίλειο των Μακεδόνων το ξέρεις; Επίσης δεν έχει χαλάσει το έθνος θες δεν θες... άλλο αν εσύ δεν είσαι ελληνίδα.,0,GR
@USER Αυτή είναι αυστηρώς απαγορευμένη στο σπίτι να ξαναπαίξει. Βαλάντωσαν οι κόρες μου και η γυναίκα μου. Εγώ φυσικά ως σκληρό αντράκι κρατήθηκα. Μέχρι που έβγαλα τα σκυλιά βόλτα και ...όταν δεν κοιτούσε κανένας...... ήταν μεγάλη η βόλτα...,0,GR
Όταν δεν έχεις που να βάλεις το drone #gntmgr,0,GR
"@USER Φεύγω μετανάστης σε χώρα με βασιλιά,περιμένω να πεθάνετε όλοι από καρκίνο, γυρνάω ψηφίζω Αλεξαρο. Πάλι νίκη της αριστεράς.",1,GR
"Αν είσαι αναποφάσιστος, το παρακάτω video μπορεί να σου δώσει το κίνητρο που χρειάζεσαι για να επιλέξεις. #nd_xeftiles",0,GR
Το #gntmgr κρατα τρεις μήνες μόνο για να μη φαίνεται η κοιλιά αν γκαστρωθεί κάποια κοπέλα.,1,GR
@USER Είσαι αστέρι βρε Κατερίνα. Και κούκλα εκτός από φοβερή αθλήτρια και φοβερός άνθρωπος. Πάντα και μόνο επιτυχίες εύχομαι.,0,GR
Χαίρομαι ιδιαίτερα που ο ελληνικός λαός ενίσχυσε γενναιόδωρα τη δεινοπαθούσα οικογένεια Μητσοτάκη η οποία ευρισκομένη σε δυσχερέστατη οικονομική θέση ζητιάνευε έως τώρα στα σκαλιά της εκκλησίας. Εύγε του #Εκλογες_2019 #ΝΔ_ξεφτιλες,0,GR
#ΝΔ_ξεφτιλες ο ορισμος της αντικειμενικης δημοσιογραφιας του #σκαι ξεφτιλες,0,GR
"@USER Δεν είναι καν ψήφος διαμαρτυρίας. Εβλεπαν κανάλια, εφημερίδες, παπάδες, τέσσερα χρόνια να λένε Αλέξης ο ψεύτης, ο μπήξε, ο δείξε, δεν έβλεπαν, δεν άκουγαν ΣΥΡΙΖΑ γύρω τους, σου λένε τόσο μαλάκες που είναι να μην απαντάνε, κάτι θα ισχύει απ' όλα αυτά.",1,GR
Λενε οτι τραγουδανε απο τα 3 και 4 λες και ειχαν συναισθηση τοτε οτι τραγουδουσαν #TheVoiceGR,0,GR
@USER Γενικά οι γυναίκες το δυναμικό κ το ομορφο ακόμα κ αν ίδιες ανήκουν σε αυτή την κατηγορία δεν το δέχονται.βγαζουν κακια.κ τώρα που υποστηρίζουν τέρμα νταμλα το κάνουν επειδή είναι το αντίπαλο δέος της κατ.αν ας πούμε η νταμλα έβγαζε φωτό με ντανο γκοτση θα την έριχναν στην πυρά.,1,GR
"Τα χόμπιτ βάφονται αλλού, δεν το έχει προβλέψει η παραγωγή #shoppingstar",0,GR
#MasterChefGR_Xeftiles οταν ετοιμαζεσαι να σε πάρουν οι 4 κι ο ενας νεκροθαφτης εχει ρεπο,0,GR
@USER ΕΙΣΑΙ ΕΝΤΕΛΩΣ ΤΟΠΟΥ ΚΑΙ ΧΡΟΝΟΥ ΣΥΓΚΡΙΝΕΙΣ ΚΑΠΟΙΟΝ ΠΟΥ ΑΝΑΣΤΗΣΕ ΤΗΝ ΕΛΛΑΔΑ ΑΠΟ ΤΗΝ ΣΤΑΧΤΗ -ΚΥΡΙΟΛΕΚΤΙΚΑ ΜΕ ΕΝΑΝ ΤΥΧΑΡΠΑΣΤΟ ΜΙΣΕΛΛΗΝΑ ΠΟΥ ΑΠΛΑ ΔΙΕΛΥΣΕ ΤΑ ΠΑΝΤΑ ΟΠΟΥ ΚΑΙ ΑΝ ΑΣΧΟΛΗΘΗΚΕ ΧΡΕΙΑΖΕΣΑΙ ΑΜΕΣΑ ΨΥΧΙΑΤΡΟ ΟΣΟ ΠΡΟΛΑΒΑΙΝΕΙΣ ΒΕΒΑΙΑ,1,GR
