tweet,label,lang
@USER en güzel uyuyan insan ödülü jeon jungkook'a gidiyor...,0,TU
"@USER Mekanı cennet olsun, saygılar sayın avukatımız,iyi günler dilerim",0,TU
Kızlar aranızda kas yığını beylere düşenler olduğunu görüyorum yapmayın allah aşkına,0,TU
Biraz ders çalışayım. Tembellik ve uyku düşmanımızdır.,0,TU
@USER Trezeguet yerine El Sharawy daha iyi olmaz mı,0,TU
@USER Bence de olması gerekiyor. Hatta meslek lisesine ön hazırlık olarak ortaokulda bile çıraklık tarzında eğitimler verilip temeli hazırlanmalıdır. Lise çağına gelen bir çocuk için bir çok konuda vakit geçmiş oluyor. O nedenle de meslek liselerinde istenilen performans yakalanamıyor.,0,TU
Mutlu gorunumlu ama daima mutsuz olanlar burdami? Mutlu olun olmaya calisin sizi mutlu edecek seyler yapin cok dusunurseniz mutsuz olursunuz hayati akisina birakin zaten olacak birsey olacaksa birgun elbet olur siz yinede mutlu olun.,0,TU
100 liraya tras oldum arkadaşım diyo ki ne kesiyo o kurban mı kesiyo agshsn,0,TU
@USER @USER @USER Reis bu ülkenin Devlet Başkanı ve Ak parti genel başkanı saygı duyacaksınız hergele,1,TU
"Var olan, ancak düşünüldüğü kadarıyla vardır. Hannah Arendt",0,TU
Şu kodumun sitesine günlerce giremeyecek kadar meşgul olduğumda bütün sosyal medya hesaplarımı kapatıcam amk.,1,TU
"buralara değil yaz günü, kışın bile kar yağmıyor",0,TU
prodüktivite arz cazibesi tolerans kolacı tomruklama #idtaaCom500TLBonus,0,TU
@USER Muavinlerini ara bi cikar bozuk olur öyle bide tecavuz olayı oldu ya ondan biraz millet uzak duruyo ama metronun yolcudan yana sikintisi yok bu arada zaten.,0,TU
Yalnız bunlar harabe bir yerdeler ne işleri var orada çözemedim neresi orası #SiyahBeyazAşk #AsFer,0,TU
"Bundan sonra katiyyen arkadaşlarıma ""dışarı çıkalım"" cümlesini kurmayacağım",0,TU
Araci ekurisinin en kotu tayi bile olsa Bursa da bu gruplara geçilmez    İsmail Dinar hep kendi calistirmis ve biniyor   Count on me kazanir kisacasi   Galoplari da muthis,0,TU
"@USER 200 bin euro ya deportivo da oynuyordu , şimdi 2,5 milyon Euro alıyor",0,TU
"Âşk odu evvel düşer maşuka, ândan âşıka,   Şem’i gör kim, yanmadan yandırmadı pervâneyi   -Gaybi-      (Aşk ateşi evvela düşer mumu yakar sonra pervanerler ondan yanar; yani gönlüne ateş düşüp yanmak nasip olan ey falanca, bil ki seni yakan senden evvel yandı)",0,TU
@USER Bundan 20 yıl sonrayaptıklarından cok yapmadıgın şeylerden pişmanlık duyacaksın,0,TU
"...   Âşk ile ölmeden toprak olanlar cânım Yûnus (ks) gibi cânında Canâne bulanlardır..      ""Eşkere kıldum bugün pinhânumı   Cân virüben buldum ol Cânânumı""",0,TU
@USER cıkss birkaç kere yapman lazım. aslında bi tane merhem vardı adını hatırlamıyorum o hemen geçiriyo ya,0,TU
Affetmek ve unutmak iyi insanların intikamıdır.,0,TU
@USER @USER @USER Elestirebilirsin beğenmeye bilirsin siyasi görüşün sana ama dikkat et akp değil Ak parti dir,0,TU
@USER Aşkta öyle bişey olsa gerek,0,TU
Nasıl o*** çocuklarıyla aynı devre denk geldik,1,TU
iki güzel söze yapılan hatayı unutma kerizliğimden nasıl kurtulabilirim,0,TU
@USER Bunu yapan birine 200 tl vetirim,0,TU
Benden başka herkese iyi geceler,0,TU
@USER @USER Yakın yanlış sınırın öbür tarafı. Pasaportla geçiliyor😂😂😂,0,TU
2 yıl önce hayatımın aşkını bulmuşta kaybetmiş gibiyim,0,TU
@USER Biz suriyede abd nin kara ordusu ppkpyd ile savaştık siz karşı çıktınız abd chpkk yı devşirdi,1,TU
Ben boğayım. Demek oluyor ki burçlarla ilgili böyle istatistiklere güvenmeyin.,0,TU
@USER Vatan severligin ölçusünüde belirtseler ona göre davranllsa,0,TU
"@USER Milliyetçi geçinip, mafyanın ve derin devletin önüne koydular bu şehri ve ülkeyi... Bu şehir girdap",0,TU
@USER @USER @USER yöneticileri olan kulüp  daha iyi nasıl yönetilene bilinir ki ?,1,TU
@USER MHP bu ülkenin çimentosudur...bunu bilen devlet düşmanı hainler ülkücü gençleri devlete küstürmek için #26nisanfetökumpası ile binlerce polisi perişan etti   Ama küsmedik devlet baki olsun...kumpas düzelir elbet,1,TU
@USER @USER @USER @USER @USER @USER Gol atacak forvet yok forvet kim gol atacak ben anlamıyorum.,0,TU
@USER Okuma oranın çok düşük olduğu ve gündemi A haberden takip eden kitleye.. Küfür etseydin daha iyiydi.,1,TU
"Fedakarlık, cesaret ve inanç..       O gün onlar orada olduğu için bugün bizler buradayız!      Başta Ulu Önder Mustafa Kemal Atatürk olmak üzere vatanı için gözünü kırpmadan canını ortaya koyan bütün şehitlerimizin ruhları şad olsun.      #ÇanakkaleGeçilmez",0,TU
@USER Nasıl olsa ölünecek ama Allah son nefeste iman selameti nasip eylesin. Ne diyelim.,0,TU
"@USER Öyle bir mutlulukla izliyorum ki her konuşmanı.   Böyle bilgili,mantıklı bir insanın konuşabilmesi bile artık mutlu olmamıza yetiyor.   Umudumuzu getirdin,ülkemize daha CB olmadan huzuru getirmeye başladın.   Çok seviliyorsun çok🙏🙏♥",0,TU
170 boyundayim aq ya nasil kurayim boyle halay,1,TU
cool görüncem diye kanser bile olursunuz,0,TU
"@USER Çok zor, önce helallik almanız lazım...",0,TU
Hepimizin psikolojisi bozuk çok azımız bunun farkında,0,TU
iyi aksamlar sevgili arkadaslar. k.maras yasim 36 kaliteli ve seviyeli ve unutulmaz anlar yasamak isterseniz ben buradayim evli ciftler tek bayan veya pasif gayler. 853 442 82 63,0,TU
#DavutoğluAçıkla Diyorsunuz ama yaşayan ölüler mezardaki ölülerden daha gizemlidirler konuşamazlar arkeoloklarda çaresiz kalıyor yaşayanlara karşı 🤔,0,TU
"Sizi favlamakdan parmak uçlarım şişti yeminle, hesaplarıma göre şu an bi çoğunuzun kalbini çalmış olmam lazım..",0,TU
"@USER Gökyüzüne bakmayanların kalbi daha cabuk kirlenir,",0,TU
"Bu devletin önünde sonunda yıkılması kaçınılmaz. daha doğrusu eyaletler aynen SSCB'deki gibi ayrışır diye tahmin ediyorum. Zatene şu anda sorsanız, federal devletten kopacak eyaletler bile var. +",0,TU
Üşüyüp babamın ceketini aldim annem baban üşür diyo evladından çok kocasını düşünen bir kadın  😂 annem gibi kocamı sevmek mi Allahim nasip et 😅,0,TU
‘’pek çok şeyin bambaşka olmasını isterdim.’’,0,TU
@USER @USER @USER @USER @USER @USER @USER @USER @USER Analizin sonucunu bizimle de paylaşırsınız diyorum. 😁,0,TU
Anam yarın göndeririz para diyip telefonlarımı açmadı.Bu dünyada kimseye güvenmeyeceksin aga.,0,TU
Sen ne yumoş bişeysin acaba ekranı mıncırasım geldi   #BBMAsTopSocial BTS @USER,0,TU
Müslüm BABA kutsaldır Galatasaraylı için,0,TU
Oruçluyum zaman geçsin istiyorum ama haftasonu bitiyo onuda istemiyorum rabbimm,0,TU
