NAME,Gender,COUNTRY,Age,Major teams,Batting style,Bowling style,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,group
Zehmarad Afzal,1,Pakistan,42.0,"['Cheshire Women,', 'Pakistan Women,', 'Warwickshire Women']",Right-hand bat,Right-arm medium-fast,23.0,23.0,0.0,332.0,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,174.0,133.0,2.0,66.5,4.58,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
Beth Morgan,1,England,38.0,"['England Under-23 Women,', 'England Women,', 'Middlesex Women']",Right-hand bat,Right-arm medium-fast,72.0,50.0,6.0,590.0,13.4,1096.0,53.83,0.0,1.0,28.0,22.0,2.0,300.0,15.0,307.0,97.71,0.0,0.0,72.0,40.0,1360.0,960.0,27.0,35.55,4.23,50.3,0.0,0.0,28.0,6.0,82.0,104.0,5.0,20.8,7.6,16.4,0.0,0.0,6
Kate Lowe,1,England,44.0,"['England Women,', 'Nottinghamshire Women']",Right-hand bat,Right-arm medium,8.0,8.0,2.0,105.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Hannah Lloyd,1,England,40.0,"['Diamonds,', 'England Under-23 Women,', 'England Women,', 'Somerset Women']",Right-hand bat,Right-arm medium,5.0,4.0,0.0,23.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Heather Knight,1,England,29.0,"['Diamonds,', 'England Academy Women,', 'England Women,', 'Rubies']",Right-hand bat,Right-arm offbreak,92.0,88.0,21.0,2503.0,37.35,3596.0,69.6,1.0,17.0,56.0,49.0,12.0,642.0,17.35,581.0,110.49,0.0,1.0,92.0,43.0,1535.0,1101.0,44.0,25.02,4.3,34.8,1.0,1.0,56.0,26.0,399.0,384.0,17.0,22.58,5.77,23.4,0.0,0.0,44
Laura Marsh,1,England,33.0,"['England Development Squad Women,', 'England Women,', 'Otago Women,', 'Rubies,', 'Sydney Sixers Women']",Right-hand bat,"Right-arm fast-medium, Right-arm offbreak",98.0,57.0,11.0,629.0,13.67,939.0,66.98,0.0,1.0,62.0,51.0,6.0,729.0,16.2,734.0,99.31,0.0,1.0,98.0,97.0,5082.0,3300.0,121.0,27.27,3.89,42.0,3.0,1.0,62.0,61.0,1395.0,1215.0,61.0,19.91,5.22,22.8,0.0,0.0,21
Beth Langston,1,England,27.0,"['England Academy Women,', ""England Cricket Board Development Women's XI,"", 'England Women,', 'Essex Women']",Right-hand bat,Right-arm medium,4.0,2.0,1.0,21.0,21.0,21.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,186.0,94.0,2.0,47.0,3.03,93.0,0.0,0.0,2.0,2.0,48.0,44.0,1.0,44.0,5.5,48.0,0.0,0.0,8
Bev Nicholson,1,England,44.0,"['England Women,', 'Yorkshire Women']",Right-hand bat,Right-arm medium,6.0,4.0,1.0,53.0,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,72.0,48.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Laura Newton,1,England,42.0,"['Cheshire Women,', 'England Women,', 'Lancashire Women']",Right-hand bat,Right-arm medium,73.0,68.0,4.0,1324.0,20.68,0.0,0.0,0.0,9.0,3.0,3.0,0.0,32.0,10.66,32.0,100.0,0.0,0.0,73.0,38.0,1369.0,973.0,19.0,51.21,4.26,72.0,0.0,0.0,3.0,1.0,24.0,18.0,0.0,0.0,4.5,0.0,0.0,0.0,40
Lynsey Askew,1,England,33.0,"['Australian Capital Territory Women,', 'Diamonds,', 'England Development Squad Women,', 'England Women,', 'Otago Women']",Right-hand bat,Right-arm medium,8.0,5.0,0.0,120.0,24.0,161.0,74.53,0.0,1.0,6.0,1.0,0.0,1.0,1.0,3.0,33.33,0.0,0.0,8.0,7.0,336.0,277.0,6.0,46.16,4.94,56.0,0.0,0.0,6.0,6.0,126.0,126.0,6.0,21.0,6.0,21.0,0.0,0.0,8
